ImageID	filename	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev	ManuscriptID	NameID	Name	Digitized in Rose Digital Library	Online Repository	Digital Manuscript Link	Country	Locality	Institution	Shelfmark	Latitude	Longitude	PlaceID	Origin	Material	Number of folios	Height mm	Width mm	Area mm	Leaves per gathering	Lines per column	Number of illustrations	Date start	Date end	DateCombined	Columns per folio	Texts	Folios with 1 illustration	Folios with More than 1 illustration	Folios with at least one illustration	Folios with at least one illustration	Shelfmark	Olim		Langlois	Notes
Man073_f001	Man073_f001.JPEG	204	28.9339	77	29.4715	29	12.1616	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f002	Man073_f002.JPEG	210	23.8778	69	25.5192	32	9.6259	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f003	Man073_f003.JPEG	193	36.6453	76	27.5488	28	9.2643	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f004	Man073_f004.JPEG	198	37.9433	72	28.6581	29	13.3597	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f005	Man073_f005.JPEG	224	22.2436	61	24.4099	29	26.3654	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f006	Man073_f006.JPEG	200	24.8462	87	29.3025	28	8.3553	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f007	Man073_f007.JPEG	195	40.4085	75	25.7762	29	9.0673	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f008	Man073_f008.JPEG	194	29.5235	91	32.3313	28	14.7733	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f009	Man073_f009.JPEG	203	36.9314	65	30.5832	29	20.7561	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f010	Man073_f010.JPEG	208	35.6381	84	27.3424	28	28.4614	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f011	Man073_f011.JPEG	195	39.0632	71	24.335	29	9.9175	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f012	Man073_f012.JPEG	194	40.1742	86	29.5799	29	8.956	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f013	Man073_f013.JPEG	206	40.2267	63	26.0028	31	14.43	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f014	Man073_f014.JPEG	207	38.1193	60	25.5586	30	10.3153	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f015	Man073_f015.JPEG	188	41.4189	97	32.7888	27	16.9512	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f016	Man073_f016.JPEG	175	36.4121	91	34.0225	27	9.8365	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f017	Man073_f017.JPEG	107	45.5893	114	42.6903	22	30.3085	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f018	Man073_f018.JPEG	194	37.9195	86	29.3103	28	16.7804	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
